Num,ADJUSTED NUMBER,Observer,Date,Cloud,Wind,Time,Species,Lat,Lon,Age,Sex,Bird Height,Foraging Location,Foraging Behavior,Flock?,# individuals,Con/hetero,# species,Which species,Substrate type,Canopy height,Canopy level,PLAYBACK?,Locality,NOTE,,,Distance from Trunk,DBH,(habitat),(tree height),,,
7,216,AE,1/20,10,1,845,BAWW,18.516873,-68.3732766,U,U,6,T,G,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
7,216,AE,1/20,10,1,845,BAWW,18.516873,-68.3732766,U,U,5,OF,G,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
4,271,AE,1/21,10,1,740,BAWW,18.5157182,-68.3803208,U,U,5,T,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
4,271,AE,1/21,10,1,740,BAWW,18.5157182,-68.3803208,U,U,5,OF,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
4,271,AE,1/21,10,1,740,BAWW,18.5157182,-68.3803208,U,U,6,T,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
4,271,AE,1/21,10,1,740,BAWW,18.5157182,-68.3803208,U,U,6,OL,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
6,273,AE,1/21,10,1,822,BAWW,18.5199335,-68.3846867,U,U,5,T,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,8,2,N,Behind Sewage Ponds,,,,,,,,,,
6,273,AE,1/21,10,1,822,BAWW,18.5199335,-68.3846867,U,U,6,T,G,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
6,273,AE,1/21,10,1,822,BAWW,18.5199335,-68.3846867,U,U,7,OF,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
18,285,AE,1/21,10,1,912,BAWW,18.5197465,-68.3847374,U,U,6,T,G,Y,,H,3,"CMWA, NOPA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
18,285,AE,1/21,10,1,912,BAWW,18.5197465,-68.3847374,U,U,6,T,G,Y,,H,3,"CMWA, NOPA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
18,285,AE,1/21,10,1,912,BAWW,18.5197465,-68.3847374,U,U,6,T,S,Y,,H,3,"CMWA, NOPA, BAWW",T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
4,38,A + M,1/13,10,3,1627,BBTO,18.5142799,-68.3748095,U,U,6,OL,F,Y,,C,1,,LT,12,2,N,Casitas,,,,,,,,,,
5,39,A + M,1/13,10,3,1631,BBTO,18.5142799,-68.3748095,U,U,4,OL,F,N,,,,,T,12,2,N,Casitas,,,,,,,,,,
5,39,A + M,1/13,10,3,1633,BBTO,18.5142799,-68.3748095,U,U,4,B,S,N,,,,,T,12,2,N,Casitas,,,,,,,,,,
5,39,A + M,1/13,10,3,1635,BBTO,18.5142799,-68.3748095,U,U,2,F,F,N,,,,,B,12,1,N,Casitas,,,,,,,,,,
5,39,A + M,1/13,10,3,1637,BBTO,18.5142799,-68.3748095,U,U,2,UL,H,N,,,,,T,12,1,N,Casitas,,,,,,,,,,
18,52,A + M,1/13,10,3,1745,BBTO,18.5109198,-68.3732619,U,U,4,F,F,N,,,,,S,25,1,N,Casitas,,,,,,,,,,
18,52,A + M,1/13,10,3,1750,BBTO,18.5109198,-68.3732619,U,U,4,F,F,N,,,,,S,25,1,N,Casitas,,,,,,,,,,
5,76,MG,1/17,0,2,1545,BBTO,18.5158308,-68.379616,U,U,2,F,F,Y,,H,4,"YRWA, CMWA, AMRE, BBTO",LT,9,1,N,Hacienda,,,,,,,,,,
3,115,MG,1/19,0,0,915,BBTO,18.5203553,-68.3846401,U,U,4.5,UL,H,N,,,,,T,10,2,N,Gavilan,,,,,,,,,,
3,130,AE,1/19,0,0,805,BBTO,18.5164466,-68.3797525,U,U,8,OL,F,N,,,,,T,10,3,N,Hacienda,,,,,,,,,,
3,130,AE,1/19,0,0,805,BBTO,18.5164466,-68.3797525,U,U,7,OL,F,N,,,,,T,10,3,N,Hacienda,,,,,,,,,,
3,130,AE,1/19,0,0,805,BBTO,18.5164466,-68.3797525,U,U,7,OF,S,N,,,,,T,10,3,N,Hacienda,,,,,,,,,,
4,131,AE,1/19,0,0,810,BBTO,18.5175116,-68.3805347,U,U,5,OL,F,N,,,,,T,9,2,N,Hacienda,,,,,,,,,,
4,131,AE,1/19,0,0,810,BBTO,18.5175116,-68.3805347,U,U,4,OF,F,N,,,,,T,9,2,N,Hacienda,,,,,,,,,,
8,135,AE,1/19,0,0,819,BBTO,18.5183572,-68.3810296,U,U,6,OL,F,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
18,145,AE,1/19,0,0,930,BBTO,18.5281014,-68.3797169,U,U,4,OL,F,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
2,211,AE,1/20,10,1,745,BBTO,18.5149946,-68.3770277,F/J,U,7,OL,G,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
5,214,AE,1/20,10,1,832,BBTO,18.513674,-68.3739928,U,U,6,OL,F,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
5,214,AE,1/20,10,1,832,BBTO,18.513674,-68.3739928,U,U,6,OL,F,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
6,215,AE,1/20,10,1,838,BBTO,18.513674,-68.3739928,U,U,5,OF,F,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
11,220,AE,1/20,10,1,952,BBTO,18.5108511,-68.3788442,U,U,4,OL,F,N,,,,,T,8,2,N,Reserve,,,,,,,,,,
12,221,AE,1/20,10,1,1005,BBTO,18.5108511,-68.3788442,U,U,3,OL,F,N,,,,,T,8,2,N,Reserve,,,,,,,,,,
12,221,AE,1/20,10,1,1005,BBTO,18.51399,-68.3780516,U,U,3,OF,F,N,,,,,T,8,2,N,Reserve,,,,,,,,,,
6,258,MG,1/21,10,1,755,BBTO,18.5181045,-68.3808616,U,U,2,L,H,Y,2,C,1,,S,8,1,N,Man-made Lagoons,,,,,,,,,,
6,258,MG,1/21,10,1,755,BBTO,18.5181045,-68.3808616,U,U,2,L,H,Y,2,C,1,,S,8,1,N,Man-made Lagoons,,,,,,,,,,
6,258,MG,1/21,10,1,755,BBTO,18.5181045,-68.3808616,U,U,3,F,F,Y,2,C,1,,S,8,1,N,Man-made Lagoons,,,,,,,,,,
7,259,MG,1/21,10,1,755,BBTO,18.5181045,-68.3808616,U,U,2.5,F,F,Y,2,C,1,,S,8,1,N,Man-made Lagoons,,,,,,,,,,
7,274,AE,1/21,10,1,830,BBTO,18.5199335,-68.3846867,U,U,4,OL,F,N,,,,,T,8,2,N,Behind Sewage Ponds,,,,,,,,,,
7,274,AE,1/21,10,1,830,BBTO,18.5199335,-68.3846867,U,U,4,OF,F,N,,,,,T,8,2,N,Behind Sewage Ponds,,,,,,,,,,
7,274,AE,1/21,10,1,830,BBTO,18.5199335,-68.3846867,U,U,5,OL,F,N,,,,,T,8,2,N,Behind Sewage Ponds,,,,,,,,,,
12,279,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,6,OL,F,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
12,279,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,6,OL,F,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
12,279,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,6,OL,F,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
